iter	RMSE
0	1.205133468
1	1.198287499
2	1.191859566
3	1.185681289
4	1.179838528
5	1.17431631
6	1.168973389
7	1.163919916
8	1.159125635
9	1.154489196
10	1.150024496
11	1.145826658
12	1.141685358
13	1.137784104
14	1.13398444
15	1.130403227
16	1.12692506
17	1.123659681
18	1.120465769
19	1.117406004
20	1.114530053
21	1.111646256
22	1.108919958
23	1.10624008
24	1.103712597
25	1.101254386
26	1.09889582
27	1.096619493
28	1.0943344
29	1.092224725
30	1.090181998
31	1.088169401
32	1.086273129
33	1.084426095
34	1.082617288
35	1.080903146
36	1.079191202
37	1.077605898
38	1.076027204
39	1.07456286
40	1.073075327
41	1.071676083
42	1.070334289
43	1.069019136
44	1.067761457
45	1.066526907
46	1.065352251
47	1.064240041
48	1.06313714
49	1.06206813
50	1.06104378
51	1.06003303
52	1.059038689
53	1.058134142
54	1.057210064
55	1.056353409
56	1.055514936
57	1.054684683
58	1.053884076
59	1.05310201
60	1.052277771
61	1.051513656
62	1.050775804
63	1.050033459
64	1.049289225
65	1.04857639
66	1.047877841
67	1.047189954
68	1.046514046
69	1.045864953
70	1.045205425
71	1.04455751
72	1.043911082
73	1.043321744
74	1.042695653
75	1.042118444
76	1.041519171
77	1.040926802
78	1.040347877
79	1.039790697
80	1.039279037
81	1.038733682
82	1.038220287
83	1.037712085
84	1.03717361
85	1.036677144
86	1.036173517
87	1.035689468
88	1.035208998
89	1.034767094
90	1.034300288
91	1.033845517
92	1.03338264
93	1.032941687
94	1.032513535
95	1.03208959
96	1.03167598
97	1.031240652
98	1.030839815
99	1.030465368
100	1.030082087
101	1.029697599
102	1.029294971
103	1.028938086
104	1.028591126
105	1.028212893
106	1.027863626
107	1.027508077
108	1.027163474
109	1.02682145
110	1.02647595
111	1.026150746
112	1.025826045
113	1.025504628
114	1.025189536
115	1.024887162
116	1.024582141
117	1.024285278
118	1.024015706
119	1.023726127
120	1.023444104
121	1.023170336
122	1.022895689
123	1.022637202
124	1.022369534
125	1.02209835
126	1.021837141
127	1.021590976
128	1.021340113
129	1.02109554
130	1.020853922
131	1.020632838
132	1.020391936
133	1.020174758
134	1.019932534
