iter	Passed	Remaining
0	18	18204
1	29	14624
2	40	13313
3	50	12608
4	61	12237
5	72	11936
6	82	11764
7	93	11616
8	104	11497
9	114	11384
10	125	11257
11	135	11187
12	146	11094
13	156	11027
14	166	10954
15	177	10892
16	187	10870
17	198	10827
18	211	10899
19	223	10932
20	235	10975
21	246	10965
22	257	10933
23	268	10900
24	278	10860
25	289	10847
26	300	10830
27	311	10802
28	322	10785
29	333	10785
30	344	10759
31	354	10738
32	365	10719
33	376	10706
34	388	10700
35	400	10719
36	411	10700
37	422	10683
38	433	10682
39	444	10660
40	455	10643
41	465	10626
42	476	10610
43	488	10606
44	499	10595
45	510	10579
46	521	10580
47	534	10597
48	546	10603
49	558	10606
50	569	10595
51	581	10594
52	591	10577
53	602	10561
54	613	10546
55	625	10541
56	636	10527
57	647	10515
58	658	10500
59	669	10485
60	684	10529
61	694	10510
62	705	10500
63	716	10485
64	728	10478
65	739	10463
66	750	10448
67	761	10432
68	772	10420
69	783	10412
70	795	10405
71	807	10405
72	818	10389
73	829	10375
74	840	10362
75	851	10349
76	862	10338
77	873	10324
78	884	10310
79	895	10295
80	906	10290
81	920	10300
82	932	10307
83	945	10314
84	958	10319
85	970	10317
86	983	10317
87	994	10308
88	1006	10303
89	1018	10297
90	1031	10299
91	1043	10295
92	1055	10296
93	1068	10294
94	1079	10284
95	1090	10273
96	1102	10264
97	1113	10251
98	1125	10240
99	1136	10228
100	1155	10280
101	1166	10268
102	1177	10256
103	1189	10247
104	1201	10245
105	1214	10241
106	1226	10238
107	1237	10223
108	1248	10207
109	1259	10191
110	1270	10177
111	1281	10163
112	1293	10149
113	1303	10133
114	1316	10131
115	1329	10129
116	1340	10118
117	1351	10104
118	1366	10119
119	1381	10134
120	1397	10151
121	1413	10175
122	1427	10174
123	1441	10182
124	1455	10189
125	1469	10189
126	1482	10188
127	1495	10188
128	1508	10186
129	1522	10188
130	1535	10186
131	1547	10174
132	1558	10160
133	1570	10147
134	1581	10134
